1D 50 0,000000 100,000000	[nbin xmin xmax]
"X"	"Function_0"
1,000000	130,504233
3,000000	138,339176
5,000000	132,360500
7,000000	132,878748
9,000000	130,916125
11,000000	138,654542
13,000000	136,298745
15,000000	138,661649
17,000000	143,066537
19,000000	140,612016
21,000000	138,923782
23,000000	140,502839
25,000000	138,884813
27,000000	149,871594
29,000000	142,870053
31,000000	138,840745
33,000000	148,638612
35,000000	143,690369
37,000000	146,538731
39,000000	147,480760
41,000000	146,221798
43,000000	148,362970
45,000000	148,782008
47,000000	146,981212
49,000000	151,067526
51,000000	150,635861
53,000000	155,581900
55,000000	152,882939
57,000000	151,733366
59,000000	150,912514
61,000000	150,422783
63,000000	152,971785
65,000000	151,222049
67,000000	155,193733
69,000000	151,599388
71,000000	154,223628
73,000000	147,043462
75,000000	153,605493
77,000000	152,669955
79,000000	146,294756
81,000000	152,491809
83,000000	142,107190
85,000000	147,763671
87,000000	144,283545
89,000000	142,015790
91,000000	141,951055
93,000000	134,746903
95,000000	139,954482
97,000000	135,154661
99,000000	134,333061
