1D 50 0,000000 100,000000	[nbin xmin xmax]
"X"	"Function_0"
1,000000	128,317827
3,000000	146,344871
5,000000	145,399475
7,000000	151,635661
9,000000	152,724913
11,000000	151,739516
13,000000	151,456693
15,000000	153,711562
17,000000	153,847446
19,000000	152,017774
21,000000	153,661634
23,000000	148,758652
25,000000	152,413679
27,000000	147,916679
29,000000	148,576377
31,000000	148,897977
33,000000	145,429782
35,000000	145,586290
37,000000	143,214380
39,000000	138,275693
41,000000	141,901339
43,000000	134,730136
45,000000	142,746377
47,000000	132,192011
49,000000	130,809502
51,000000	128,625262
53,000000	126,945516
55,000000	129,563480
57,000000	119,011410
59,000000	118,307046
61,000000	122,257711
63,000000	114,539819
65,000000	114,219020
67,000000	111,040763
69,000000	108,730900
71,000000	109,630896
73,000000	103,507386
75,000000	105,851365
77,000000	99,932149
79,000000	94,313466
81,000000	97,948279
83,000000	91,958508
85,000000	93,754060
87,000000	89,280707
89,000000	89,660723
91,000000	87,204195
93,000000	80,265807
95,000000	82,225338
97,000000	78,951164
99,000000	79,494804
