1D 128 0,000000 128,000000	[nbin xmin xmax]
"X"	"Function_0"
0,500000	5,321798
1,500000	3,713200
2,500000	3,958686
3,500000	3,695794
4,500000	3,886137
5,500000	3,977915
6,500000	3,863010
7,500000	3,795910
8,500000	4,187861
9,500000	4,175638
10,500000	3,845359
11,500000	3,958100
12,500000	4,115491
13,500000	3,484668
14,500000	3,669993
15,500000	3,571873
16,500000	3,898370
17,500000	4,258604
18,500000	3,516020
19,500000	3,823188
20,500000	3,717769
21,500000	3,627333
22,500000	3,333757
23,500000	3,807640
24,500000	4,491764
25,500000	3,310084
26,500000	3,748923
27,500000	3,751959
28,500000	3,850277
29,500000	3,930454
30,500000	4,185374
31,500000	3,793654
32,500000	3,772646
33,500000	3,687579
34,500000	3,858284
35,500000	3,598149
36,500000	3,860503
37,500000	3,934593
38,500000	3,979438
39,500000	3,858697
40,500000	3,933289
41,500000	3,562939
42,500000	3,835131
43,500000	3,658425
44,500000	3,655495
45,500000	3,725806
46,500000	3,676819
47,500000	3,790063
48,500000	3,571634
49,500000	3,727444
50,500000	3,508525
51,500000	3,832303
52,500000	4,093228
53,500000	3,700102
54,500000	3,736295
55,500000	3,900322
56,500000	3,753763
57,500000	4,104630
58,500000	3,478907
59,500000	3,940101
60,500000	3,775191
61,500000	3,712431
62,500000	3,775003
63,500000	3,692534
64,500000	3,799689
65,500000	3,600808
66,500000	3,672274
67,500000	3,733304
68,500000	3,726903
69,500000	3,696346
70,500000	3,574365
71,500000	3,583373
72,500000	3,921884
73,500000	3,828151
74,500000	3,671537
75,500000	3,743981
76,500000	4,167138
77,500000	3,812927
78,500000	3,601326
79,500000	3,929227
80,500000	4,285924
81,500000	3,877609
82,500000	3,608476
83,500000	3,683164
84,500000	3,990717
85,500000	3,885273
86,500000	3,985856
87,500000	3,763644
88,500000	3,848455
89,500000	4,094835
90,500000	3,712165
91,500000	3,793122
92,500000	3,955901
93,500000	3,951961
94,500000	3,770492
95,500000	3,656977
96,500000	4,032623
97,500000	3,946450
98,500000	4,113720
99,500000	4,035671
100,500000	3,899343
101,500000	3,861759
102,500000	3,859657
103,500000	4,048939
104,500000	4,143507
105,500000	3,933946
106,500000	3,957814
107,500000	3,896490
108,500000	3,719297
109,500000	3,865582
110,500000	3,897695
111,500000	3,876519
112,500000	3,782628
113,500000	3,903115
114,500000	4,052616
115,500000	3,859909
116,500000	4,263682
117,500000	3,995494
118,500000	3,563519
119,500000	3,654957
120,500000	4,112081
121,500000	4,059866
122,500000	3,650337
123,500000	3,992284
124,500000	4,410008
125,500000	4,088376
126,500000	3,839961
127,500000	4,537603
