1D 128 0,000000 128,000000	[nbin xmin xmax]
"X"	"Function_0"
0,500000	7,555910
1,500000	7,307322
2,500000	6,353628
3,500000	7,267782
4,500000	7,534802
5,500000	6,712324
6,500000	7,315750
7,500000	7,345400
8,500000	7,844362
9,500000	7,313991
10,500000	6,980372
11,500000	6,854332
12,500000	6,837093
13,500000	6,907534
14,500000	6,736733
15,500000	6,925619
16,500000	6,829157
17,500000	6,521192
18,500000	6,368723
19,500000	7,276611
20,500000	7,413410
21,500000	6,884170
22,500000	6,627553
23,500000	6,899749
24,500000	6,215255
25,500000	7,331152
26,500000	7,300221
27,500000	6,745254
28,500000	7,104644
29,500000	5,918667
30,500000	6,393408
31,500000	6,865588
32,500000	7,184624
33,500000	6,936206
34,500000	7,173730
35,500000	6,748378
36,500000	6,884869
37,500000	6,724923
38,500000	6,300646
39,500000	6,762131
40,500000	6,859165
41,500000	6,838220
42,500000	6,498965
43,500000	6,580461
44,500000	6,682781
45,500000	7,246846
46,500000	6,835320
47,500000	6,859041
48,500000	6,911628
49,500000	6,367958
50,500000	6,541566
51,500000	6,408775
52,500000	6,895934
53,500000	7,095686
54,500000	6,893957
55,500000	6,535788
56,500000	6,592091
57,500000	6,724167
58,500000	6,912470
59,500000	6,966767
60,500000	6,680854
61,500000	6,784499
62,500000	6,466128
63,500000	6,600177
64,500000	7,270278
65,500000	6,603239
66,500000	6,521316
67,500000	6,867869
68,500000	6,993311
69,500000	6,683431
70,500000	6,957670
71,500000	6,835018
72,500000	7,018868
73,500000	7,498217
74,500000	7,052161
75,500000	6,643344
76,500000	6,806487
77,500000	6,668560
78,500000	6,629168
79,500000	6,674674
80,500000	6,667151
81,500000	6,873903
82,500000	6,615703
83,500000	6,632491
84,500000	6,948928
85,500000	7,426186
86,500000	6,863816
87,500000	6,652274
88,500000	6,103415
89,500000	6,684922
90,500000	7,200043
91,500000	7,532896
92,500000	7,197865
93,500000	7,010221
94,500000	6,338055
95,500000	6,540884
96,500000	7,025875
97,500000	7,038197
98,500000	7,284989
99,500000	6,958441
100,500000	6,704660
101,500000	6,344302
102,500000	6,687873
103,500000	6,463906
104,500000	6,310667
105,500000	6,715810
106,500000	6,926032
107,500000	6,475533
108,500000	6,612725
109,500000	7,062058
110,500000	7,110114
111,500000	6,839114
112,500000	7,122701
113,500000	6,381455
114,500000	7,206119
115,500000	7,051676
116,500000	6,840158
117,500000	6,705225
118,500000	6,726721
119,500000	6,952409
120,500000	6,634555
121,500000	6,469798
122,500000	7,243614
123,500000	6,549346
124,500000	7,167604
125,500000	7,087050
126,500000	6,860936
127,500000	7,523985
