1D 128 0,000000 128,000000	[nbin xmin xmax]
"X"	"Function_0"
0,500000	5,381291
1,500000	4,097658
2,500000	4,375425
3,500000	4,061358
4,500000	4,350572
5,500000	4,060049
6,500000	4,111406
7,500000	3,928710
8,500000	4,347239
9,500000	4,693703
10,500000	4,232856
11,500000	4,181030
12,500000	4,093221
13,500000	4,135371
14,500000	4,146639
15,500000	3,917101
16,500000	4,275105
17,500000	3,854357
18,500000	3,931398
19,500000	3,866892
20,500000	4,201470
21,500000	4,033027
22,500000	4,126972
23,500000	4,195201
24,500000	3,813165
25,500000	4,278338
26,500000	3,907919
27,500000	3,831208
28,500000	3,897236
29,500000	4,117080
30,500000	3,679919
31,500000	3,941353
32,500000	3,688515
33,500000	3,967262
34,500000	3,824355
35,500000	4,060917
36,500000	4,044959
37,500000	4,085358
38,500000	3,753500
39,500000	3,946325
40,500000	3,986708
41,500000	4,034791
42,500000	4,084406
43,500000	3,688111
44,500000	3,933764
45,500000	3,781459
46,500000	3,956217
47,500000	3,731527
48,500000	3,920406
49,500000	3,941196
50,500000	3,664529
51,500000	3,710570
52,500000	4,070566
53,500000	4,326167
54,500000	4,029550
55,500000	3,791004
56,500000	4,127617
57,500000	4,160906
58,500000	3,904587
59,500000	4,034760
60,500000	3,637045
61,500000	4,001875
62,500000	3,762045
63,500000	3,581066
64,500000	4,469434
65,500000	3,894772
66,500000	3,956607
67,500000	3,791868
68,500000	3,747479
69,500000	4,132644
70,500000	3,815979
71,500000	3,686556
72,500000	3,588388
73,500000	3,887114
74,500000	3,763265
75,500000	4,201367
76,500000	4,067607
77,500000	3,918447
78,500000	4,007304
79,500000	3,996460
80,500000	3,782544
81,500000	3,897530
82,500000	3,839881
83,500000	4,065989
84,500000	4,120352
85,500000	3,839825
86,500000	3,955032
87,500000	4,001600
88,500000	3,700223
89,500000	3,913322
90,500000	4,292836
91,500000	3,913299
92,500000	3,973686
93,500000	4,351727
94,500000	3,850350
95,500000	3,693882
96,500000	3,832241
97,500000	4,282874
98,500000	4,054972
99,500000	4,221303
100,500000	3,900899
101,500000	4,105708
102,500000	4,107638
103,500000	3,947235
104,500000	3,929530
105,500000	4,078373
106,500000	3,851370
107,500000	4,130283
108,500000	3,802140
109,500000	4,584303
110,500000	3,996484
111,500000	3,773543
112,500000	4,054342
113,500000	4,028128
114,500000	4,225354
115,500000	3,895040
116,500000	3,923589
117,500000	4,002387
118,500000	4,275894
119,500000	4,004086
120,500000	3,908587
121,500000	4,275017
122,500000	3,887778
123,500000	4,046072
124,500000	3,763514
125,500000	4,451440
126,500000	3,978692
127,500000	4,189150
