1D 256 -511,500000 511,500000	[nbin xmin xmax]
"X"	"Function_0"
-509,501953	0,000000
-505,505859	0,000000
-501,509766	0,000000
-497,513672	0,000000
-493,517578	0,000000
-489,521484	0,000000
-485,525391	0,000000
-481,529297	0,000000
-477,533203	0,000000
-473,537109	0,000000
-469,541016	0,000000
-465,544922	0,000000
-461,548828	0,000000
-457,552734	0,000000
-453,556641	0,000000
-449,560547	0,000000
-445,564453	0,000000
-441,568359	0,000000
-437,572266	0,000000
-433,576172	0,000000
-429,580078	0,000000
-425,583984	0,000000
-421,587891	0,000000
-417,591797	0,000000
-413,595703	0,000000
-409,599609	0,000000
-405,603516	0,000000
-401,607422	0,000000
-397,611328	0,000000
-393,615234	0,000000
-389,619141	0,000000
-385,623047	0,000000
-381,626953	0,000000
-377,630859	0,000000
-373,634766	0,000000
-369,638672	0,000000
-365,642578	0,000000
-361,646484	0,000000
-357,650391	0,000000
-353,654297	0,000000
-349,658203	0,000000
-345,662109	0,000000
-341,666016	0,000000
-337,669922	0,000000
-333,673828	0,000000
-329,677734	0,000000
-325,681641	0,000000
-321,685547	0,000000
-317,689453	0,000000
-313,693359	0,000000
-309,697266	0,000000
-305,701172	0,000000
-301,705078	0,000000
-297,708984	0,000000
-293,712891	0,000000
-289,716797	0,000000
-285,720703	0,000000
-281,724609	0,000000
-277,728516	0,000000
-273,732422	0,000000
-269,736328	0,000000
-265,740234	0,000000
-261,744141	0,000000
-257,748047	0,000000
-253,751953	0,000000
-249,755859	0,000000
-245,759766	0,000000
-241,763672	0,000000
-237,767578	0,000000
-233,771484	0,000000
-229,775391	0,000000
-225,779297	0,000000
-221,783203	0,000000
-217,787109	0,000000
-213,791016	0,000000
-209,794922	0,000000
-205,798828	0,000000
-201,802734	0,000000
-197,806641	0,000000
-193,810547	0,000000
-189,814453	0,000000
-185,818359	0,000000
-181,822266	0,000000
-177,826172	0,000000
-173,830078	0,000000
-169,833984	0,000000
-165,837891	0,000000
-161,841797	0,000000
-157,845703	0,000000
-153,849609	0,000000
-149,853516	0,000000
-145,857422	0,000000
-141,861328	0,000000
-137,865234	0,000000
-133,869141	0,000000
-129,873047	0,000000
-125,876953	0,000000
-121,880859	0,000000
-117,884766	0,000000
-113,888672	0,000000
-109,892578	0,000000
-105,896484	0,000000
-101,900391	0,000000
-97,904297	0,000000
-93,908203	0,000000
-89,912109	0,000000
-85,916016	0,000000
-81,919922	0,000000
-77,923828	0,000000
-73,927734	0,000000
-69,931641	0,000000
-65,935547	0,000000
-61,939453	0,000000
-57,943359	0,000000
-53,947266	0,000000
-49,951172	0,000000
-45,955078	0,000000
-41,958984	0,000000
-37,962891	0,000000
-33,966797	0,000000
-29,970703	0,000000
-25,974609	0,000000
-21,978516	0,000000
-17,982422	0,000000
-13,986328	0,000000
-9,990234	0,000000
-5,994141	0,000000
-1,998047	0,000000
1,998047	0,000000
5,994141	0,000000
9,990234	0,000000
13,986328	0,000000
17,982422	44,000000
21,978516	332,000000
25,974609	337,000000
29,970703	341,000000
33,966797	324,000000
37,962891	392,000000
41,958984	416,000000
45,955078	465,000000
49,951172	506,000000
53,947266	573,000000
57,943359	614,000000
61,939453	673,000000
65,935547	850,000000
69,931641	823,000000
73,927734	1013,000000
77,923828	1103,000000
81,919922	1272,000000
85,916016	1380,000000
89,912109	1477,000000
93,908203	1696,000000
97,904297	1733,000000
101,900391	1842,000000
105,896484	2057,000000
109,892578	2155,000000
113,888672	2402,000000
117,884766	2677,000000
121,880859	2889,000000
125,876953	2964,000000
129,873047	3217,000000
133,869141	3441,000000
137,865234	3601,000000
141,861328	3683,000000
145,857422	3652,000000
149,853516	3504,000000
153,849609	3375,000000
157,845703	3185,000000
161,841797	2984,000000
165,837891	2790,000000
169,833984	2486,000000
173,830078	2221,000000
177,826172	2039,000000
181,822266	1806,000000
185,818359	1608,000000
189,814453	1495,000000
193,810547	1355,000000
197,806641	1220,000000
201,802734	1078,000000
205,798828	909,000000
209,794922	901,000000
213,791016	773,000000
217,787109	680,000000
221,783203	649,000000
225,779297	586,000000
229,775391	514,000000
233,771484	494,000000
237,767578	424,000000
241,763672	438,000000
245,759766	383,000000
249,755859	402,000000
253,751953	322,000000
257,748047	278,000000
261,744141	260,000000
265,740234	294,000000
269,736328	221,000000
273,732422	219,000000
277,728516	214,000000
281,724609	184,000000
285,720703	192,000000
289,716797	166,000000
293,712891	166,000000
297,708984	174,000000
301,705078	157,000000
305,701172	147,000000
309,697266	142,000000
313,693359	126,000000
317,689453	123,000000
321,685547	92,000000
325,681641	124,000000
329,677734	100,000000
333,673828	91,000000
337,669922	91,000000
341,666016	83,000000
345,662109	85,000000
349,658203	69,000000
353,654297	81,000000
357,650391	72,000000
361,646484	99,000000
365,642578	66,000000
369,638672	51,000000
373,634766	66,000000
377,630859	52,000000
381,626953	61,000000
385,623047	44,000000
389,619141	53,000000
393,615234	54,000000
397,611328	47,000000
401,607422	42,000000
405,603516	35,000000
409,599609	41,000000
413,595703	38,000000
417,591797	38,000000
421,587891	39,000000
425,583984	31,000000
429,580078	31,000000
433,576172	30,000000
437,572266	23,000000
441,568359	30,000000
445,564453	24,000000
449,560547	27,000000
453,556641	21,000000
457,552734	30,000000
461,548828	18,000000
465,544922	18,000000
469,541016	20,000000
473,537109	19,000000
477,533203	19,000000
481,529297	17,000000
485,525391	18,000000
489,521484	19,000000
493,517578	10,000000
497,513672	11,000000
501,509766	13,000000
505,505859	18,000000
509,501953	12,000000
